ID,Category,Wind Speed (mph),Rain Fall (in.),Flood Depth (in.),Diameter (mi.),Warning Time,Start Time (made landfall),End Time (< category 1),Path,Path Length (mi.),Deaths,Permanent Injuries,Less Severe Injuries,Buildings Destroyed
H-2000222,5,175,54,212,318,"Sep. 1, 1913 - 09:54:23","Sep. 7, 1913 - 17:48:17","Sep. 8, 1913 - 14:48:17","26.664732, 47.370923 -> 29.736908, 35.559892 -> 24.520018, 52.083166 -> 24.723212, 43.594639 -> 20.085617, 50.045276 -> 29.413197, 49.913899 -> 27.916283, 51.963125 -> 30.719317, 46.040256 -> 18.23629, 38.67836 -> 23.979265, 39.664978 -> 22.063467, 50.643471 -> 30.117889, 39.224909 -> 27.204054, 45.409365 -> 30.717294, 51.153261 -> 27.837795, 47.077553 -> 21.75524, 53.861257 -> 19.587305, 38.005746 -> 22.318804, 50.484307 -> 19.603865, 51.686179 -> 26.294185, 43.120529 -> 25.87898, 36.087876 -> 18.713239, 45.502444 -> 25.788374, 51.201248 -> 22.395922, 43.688058 -> 26.000697, 53.943674 -> 21.274916, 41.483982 -> 18.413155, 49.860497 -> 20.511722, 46.767217 -> 25.575541, 41.029069 -> 28.36853, 40.654192 -> 30.937233, 49.526539 -> 27.036339, 36.153085 -> 23.749221, 37.089155 -> 23.52694, 41.961539",198.0,164769,2644334,4360639,786167
H-2000223,2,98,11,23,183,"Sep. 15, 1955 - 19:08:46","Sep. 25, 1955 - 02:56:57","Sep. 25, 1955 - 17:56:57","52.275492, 77.468522 -> 52.657759, 73.152467 -> 53.916606, 76.977652 -> 49.704407, 70.921399 -> 41.680594, 81.13229 -> 52.816769, 56.016714 -> 41.441884, 72.489014 -> 44.511151, 48.1198 -> 45.978268, 75.453002 -> 44.377641, 86.335654 -> 42.47826, 64.786773 -> 46.57236, 58.475415 -> 45.543389, 63.957921 -> 52.04446, 83.88117 -> 45.047506, 62.079046 -> 55.197362, 58.378366 -> 52.927993, 82.251032 -> 54.326678, 84.283786 -> 51.645422, 80.747708 -> 46.783971, 82.959974 -> 55.342322, 77.230068 -> 50.226046, 52.633534 -> 53.69495, 72.899272 -> 47.568046, 85.55012 -> 46.781527, 81.397034 -> 46.762019, 77.810613 -> 54.262745, 59.24557 -> 48.95486, 71.572663 -> 50.676208, 58.832387 -> 42.877489, 74.969576 -> 54.558425, 81.576651 -> 47.79612, 64.62084 -> 52.346369, 57.702591 -> 53.827398, 47.126405",135.0,1844,0,30012,10336
H-2000224,4,138,27,87,524,"Oct. 03, 1924 - 12:11:04","Oct. 13, 1924 - 09:56:17","Oct. 14, 1924 - 06:56:17","21.628378, 38.832524 -> 23.796041, 41.793605 -> 30.206198, 42.67149 -> 18.004154, 51.850714 -> 17.943028, 44.225674 -> 29.507367, 45.890257 -> 19.505973, 36.755237 -> 23.694641, 36.328348 -> 19.693626, 37.916439 -> 19.791516, 52.002413 -> 23.845266, 38.846653 -> 24.293968, 45.307325 -> 27.354159, 44.977866 -> 27.483733, 48.39632 -> 30.73519, 50.550536 -> 24.216011, 48.611178 -> 24.406776, 38.493942 -> 19.402959, 53.639762 -> 27.868298, 47.257172 -> 23.052435, 48.93339 -> 23.47431, 37.818306 -> 23.074362, 43.457392 -> 19.373821, 40.234012 -> 20.72166, 49.890601 -> 18.584459, 41.624677 -> 28.226041, 45.458998 -> 30.143125, 51.217932 -> 29.522698, 41.844117 -> 31.003995, 38.575668 -> 28.9027, 36.873544 -> 28.814455, 38.059172 -> 22.732839, 35.977454 -> 20.85996, 39.547941 -> 26.414263, 37.883537",162.0,42171,207539,842007,180713
H-2000225,3,116,14,12,237,"May 16, 1930 - 21:24:51","May 23, 1930 - 08:52:23","May 24, 1930 - 03:52:23","61.659123, 56.870456 -> 77.135089, 68.351853 -> 55.850525, 64.543869 -> 75.274311, 95.586948 -> 67.101027, 42.411306 -> 71.445734, 110.80353 -> 70.47623, 129.353671 -> 76.931412, 98.794462 -> 63.595361, 67.45558 -> 75.389617, 48.349437 -> 70.706922, 164.23949 -> 71.533374, 42.086968 -> 69.246407, 105.180168 -> 72.757818, 139.934295 -> 60.346922, 47.895274 -> 73.365338, 130.629956 -> 63.613536, 104.223492 -> 73.276128, 45.095469 -> 60.405704, 112.660262 -> 56.264391, 175.875691 -> 71.157574, 135.148606 -> 70.624488, 137.155338 -> 66.327958, 166.05262 -> 55.637813, 133.643966 -> 66.933402, 81.754173 -> 65.271609, 48.094703 -> 69.211947, 173.885839 -> 71.129023, 51.306939 -> 68.712572, 147.331818 -> 70.038225, 154.306273 -> 72.386626, 147.725613 -> 57.645966, 72.943327 -> 61.360738, 152.482503 -> 63.83431, 92.103073",145.0,42779,203232,1120125,165415
H-2000226,2,101,7,5,333,"Apr. 06, 1950 - 11:18:18","Apr. 17, 1950 - 00:37:01","Apr. 17, 1950 - 15:37:01","-14.473804, 137.40216 -> -35.476029, 137.518738 -> -38.212118, 121.630264 -> -23.771773, 149.605822 -> -22.878452, 123.944766 -> -32.011018, 117.110739 -> -34.370267, 147.329741 -> -18.624903, 130.871303 -> -36.736144, 137.916595 -> -36.550489, 147.07002 -> -13.371828, 137.500658 -> -27.7689, 119.732561 -> -20.641602, 121.322476 -> -18.067816, 114.045384 -> -37.454125, 126.758678 -> -38.753759, 131.463892 -> -35.515528, 128.353662 -> -33.765518, 137.788358 -> -38.539107, 146.632136 -> -13.912346, 124.69737 -> -23.871525, 143.167856 -> -36.286403, 122.266721 -> -35.045014, 129.594696 -> -31.98867, 114.836127 -> -35.190056, 115.321222 -> -36.591292, 113.935262 -> -15.315634, 124.897473 -> -37.180741, 134.643187 -> -22.212799, 133.94149 -> -26.301052, 124.940269 -> -31.561274, 137.603283 -> -17.352823, 119.029942 -> -31.610152, 149.36983 -> -23.955973, 119.279333",123.0,1232,0,13759,4724
H-2000227,2,108,7,1,259,"Nov. 18, 1977 - 16:58:55","Nov. 24, 1977 - 15:18:04","Nov. 25, 1977 - 05:18:04","9.856511, 77.8622 -> 15.612276, 80.132074 -> 15.728143, 68.398253 -> 18.476809, 73.381655 -> 25.03162, 74.629757 -> 26.852022, 71.970404 -> 24.142563, 83.686982 -> 23.666584, 82.93959 -> 13.925574, 83.597052 -> 25.054967, 77.956139 -> 19.040178, 76.53757 -> 12.600344, 69.282188 -> 15.371999, 81.488398 -> 26.191208, 72.347108 -> 22.361572, 75.828298 -> 15.535261, 87.042343 -> 10.360357, 69.412539 -> 10.370135, 72.028911 -> 21.790609, 73.013987 -> 29.985113, 77.1321 -> 10.051105, 80.388349 -> 21.000192, 86.385541 -> 13.11665, 76.654269 -> 15.23006, 76.36434 -> 18.639629, 72.042561 -> 27.964016, 83.251903 -> 28.977303, 86.604683 -> 10.361506, 83.220925 -> 20.186735, 81.559414 -> 18.100309, 76.05373 -> 29.113791, 78.763571 -> 27.09466, 82.392623 -> 15.586249, 72.34289 -> 17.706495, 78.736529",129.0,42404,0,542862,180798
H-2000228,1,93,8,15,72,"Jun. 12, 1917 - 21:36:53","Jun. 20, 1917 - 02:32:33","Jun. 20, 1917 - 15:32:33","-36.008973, -57.611824 -> -33.734422, -60.20565 -> -46.605316, -58.647477 -> -40.631634, -63.547818 -> -26.567446, -66.73059 -> -33.937093, -59.160257 -> -28.338107, -65.941598 -> -34.075581, -64.270674 -> -44.424026, -67.23608 -> -37.878034, -66.420215 -> -40.860231, -58.450466 -> -41.648924, -65.687426 -> -50.972675, -57.412827 -> -49.172115, -68.592029 -> -46.253061, -62.566876 -> -40.94128, -69.410275 -> -35.368939, -67.911257 -> -33.705817, -56.887387 -> -22.512281, -56.419748 -> -22.585936, -61.820384 -> -29.888596, -67.65506 -> -36.743838, -57.440609 -> -48.338972, -67.482578 -> -48.486753, -63.631207 -> -30.976342, -61.659433 -> -33.136808, -69.622792 -> -44.332456, -69.752705 -> -34.606199, -59.642195 -> -43.695431, -59.299228 -> -31.807306, -59.432587 -> -37.411919, -64.46201 -> -26.70047, -57.15926 -> -36.019306, -66.997422 -> -34.359795, -56.060495",126.0,5977,0,79904,16536
H-2000229,5,178,46,207,1064,"Apr. 13, 1971 - 14:12:25","Apr. 19, 1971 - 12:17:44","Apr. 20, 1971 - 12:17:44","0.753179, 14.395017 -> -3.329148, 22.01049 -> -4.835777, 27.32379 -> -6.366562, 19.762014 -> -8.581699, 14.676602 -> -10.33331, 17.664132 -> -11.775689, 14.160471 -> -10.408435, 23.291868 -> -12.343359, 28.576091 -> 3.550523, 13.613746 -> 2.268642, 20.945117 -> -4.834699, 25.250946 -> -2.903002, 20.324186 -> 2.08484, 22.979512 -> -12.341344, 25.791931 -> -2.825378, 25.54797 -> 1.011308, 17.438236 -> 0.325381, 14.550441 -> -9.882977, 13.274108 -> 2.205928, 18.146722 -> 3.801377, 17.504969 -> 3.18981, 20.723143 -> -9.881085, 18.59283 -> -10.835158, 21.084638 -> -10.800926, 28.05111 -> -1.821344, 16.336382 -> 1.852156, 24.400695 -> -7.52614, 22.977152 -> -7.258658, 13.31875 -> 0.179229, 26.157444 -> -3.262741, 24.306085 -> -0.326468, 23.240522 -> -0.564655, 13.980762 -> -10.140074, 15.429303",194.0,350592,4653451,7330192,1093721
H-2000230,2,102,11,36,311,"Feb. 23, 1873 - 17:47:33","Feb. 28, 1873 - 05:56:14","Feb. 28, 1873 - 19:56:14","13.461439, 69.068067 -> 30.016744, 75.404524 -> 14.874563, 85.137862 -> 8.500511, 77.44623 -> 30.156514, 75.771953 -> 23.525318, 74.746078 -> 27.111481, 76.290248 -> 22.334703, 81.636784 -> 12.062057, 85.680514 -> 10.688964, 85.921204 -> 28.571456, 69.311484 -> 21.415076, 85.876116 -> 19.641693, 85.763692 -> 25.909341, 84.973884 -> 17.236164, 74.766931 -> 25.765828, 70.654704 -> 24.843406, 76.167728 -> 23.71345, 68.764421 -> 20.778447, 70.110526 -> 16.806309, 68.88129 -> 13.204024, 71.146411 -> 20.388067, 80.471846 -> 27.064335, 85.407323 -> 24.663603, 85.853857 -> 20.092929, 74.56857 -> 11.790495, 68.696152 -> 15.376692, 72.452898 -> 13.688723, 81.621701 -> 26.974935, 81.760098 -> 17.784404, 72.649943 -> 19.052621, 80.44711 -> 27.020671, 69.262897 -> 9.454318, 69.008624 -> 17.442392, 86.463607",124.0,44747,0,686187,139048
H-2000231,2,110,8,20,86,"Oct. 09, 1967 - 04:05:53","Oct. 18, 1967 - 04:47:08","Oct. 18, 1967 - 21:47:08","44.359136, 60.57288 -> 53.662947, 69.852177 -> 47.905187, 60.234828 -> 45.531571, 60.16345 -> 49.596936, 82.493522 -> 42.062575, 75.957988 -> 55.572573, 77.440107 -> 47.879606, 84.312347 -> 42.988213, 75.250417 -> 51.82288, 79.663459 -> 54.58418, 83.092067 -> 51.440479, 54.166544 -> 53.125979, 54.003473 -> 51.411653, 49.374593 -> 48.439506, 75.578253 -> 49.583645, 59.901724 -> 41.379587, 77.524406 -> 53.377968, 71.221711 -> 50.412443, 84.043587 -> 42.792943, 60.885375 -> 52.916095, 85.630866 -> 42.476674, 80.556099 -> 48.604632, 62.209698 -> 41.414642, 70.619399 -> 51.912424, 76.968119 -> 51.837284, 56.477895 -> 42.084972, 82.411133 -> 44.895384, 83.500443 -> 44.776764, 85.940714 -> 49.012647, 50.438997 -> 54.059775, 52.332684 -> 41.764461, 79.175629 -> 43.155192, 52.170844 -> 50.442098, 51.75916",123.0,2297,0,31947,8700
H-2000232,1,81,9,16,63,"Aug. 03, 2006 - 00:52:27","Aug. 13, 2006 - 10:58:35","Aug. 14, 2006 - 01:58:35","16.310849, 79.358926 -> 16.187674, 69.444049 -> 26.748425, 69.292097 -> 19.760301, 77.411922 -> 16.960194, 73.443011 -> 13.404388, 75.102525 -> 27.839144, 72.215786 -> 16.021066, 77.636275 -> 22.749027, 82.999593 -> 20.93206, 78.524691 -> 26.553576, 81.097571 -> 16.659389, 75.118861 -> 18.303852, 84.92648 -> 29.126403, 81.638378 -> 26.394729, 71.596496 -> 12.858406, 83.597096 -> 17.659557, 78.943183 -> 22.239039, 78.619639 -> 13.600909, 77.572863 -> 12.276044, 77.631671 -> 25.409987, 81.7038 -> 13.74488, 81.999703 -> 16.164506, 76.645607 -> 16.686116, 81.988907 -> 29.091516, 79.279727 -> 10.562434, 73.528087 -> 23.717146, 70.176692 -> 9.585269, 86.019406 -> 23.121932, 77.457401 -> 20.32342, 86.046608 -> 22.51724, 72.701048 -> 19.524925, 80.592356 -> 25.342826, 70.492856 -> 27.268081, 78.520977",127.0,22830,0,463586,104436
H-2000233,5,189,37,123,778,"Jul. 02, 1979 - 12:03:04","Jul. 10, 1979 - 18:51:55","Jul. 11, 1979 - 15:51:55","64.519138, -40.477064 -> 61.444649, -36.451838 -> 66.809735, -50.669342 -> 78.521831, -46.412425 -> 80.714074, -39.757604 -> 77.371851, -22.357811 -> 75.9866, -54.126494 -> 71.26684, -31.359312 -> 73.552367, -36.05603 -> 79.859451, -50.927397 -> 62.089627, -45.072044 -> 81.060836, -31.528857 -> 65.282642, -46.41553 -> 72.753203, -39.352371 -> 63.78313, -26.272935 -> 68.406634, -23.374254 -> 67.483561, -29.25396 -> 68.702301, -36.611014 -> 81.036434, -56.23815 -> 70.800283, -54.103001 -> 74.182933, -23.310887 -> 80.387126, -43.574358 -> 68.824524, -43.392913 -> 65.835471, -24.272376 -> 69.166326, -54.583763 -> 76.020815, -49.495443 -> 77.737034, -52.216996 -> 66.730104, -29.835417 -> 73.114163, -22.622753 -> 64.87342, -55.703637 -> 65.302591, -35.670857 -> 79.373675, -30.429982 -> 75.812581, -40.405594 -> 62.231054, -52.495513",196.0,1015,15797,17840,3565
H-2000234,3,129,14,32,133,"Nov. 19, 1920 - 12:52:05","Nov. 25, 1920 - 11:43:30","Nov. 26, 1920 - 05:43:30","-6.686086, -60.328975 -> -15.015984, -56.278145 -> -19.592277, -43.968537 -> 2.210095, -44.963252 -> 0.271183, -71.037522 -> -4.54188, -56.071959 -> -21.817571, -40.8091 -> 3.480056, -58.877142 -> -13.002738, -68.288526 -> -8.532656, -71.783243 -> 1.847599, -52.38038 -> -20.23483, -65.367405 -> -17.640449, -35.303705 -> -9.30321, -70.657804 -> -1.721118, -58.647911 -> -17.849822, -43.009539 -> -6.21846, -36.51915 -> -19.821482, -70.172961 -> -13.611527, -42.29957 -> 0.348899, -42.519243 -> -6.023102, -41.427145 -> -18.399132, -40.599246 -> -11.628268, -41.21163 -> -12.43497, -35.661544 -> -11.46987, -62.010298 -> -9.791945, -56.767347 -> -15.907019, -64.886369 -> -7.954433, -68.333528 -> -13.589757, -40.031052 -> -20.669873, -64.605461 -> -5.524368, -69.860699 -> -6.540115, -38.571924 -> -16.216607, -67.845801 -> 1.184987, -68.943895",148.0,84675,298622,2224108,351630
H-2000235,5,185,59,263,702,"Dec. 15, 1966 - 06:53:46","Dec. 23, 1966 - 14:44:06","Dec. 24, 1966 - 14:44:06","29.751825, -0.20133 -> 36.746238, -4.373186 -> 23.830052, -5.032392 -> 23.907452, -2.153211 -> 21.889254, 0.54321 -> 20.188539, 8.482227 -> 30.828744, -0.017603 -> 29.526848, 11.616053 -> 23.754624, -2.544524 -> 25.562531, -6.584172 -> 35.56062, 4.271035 -> 32.928647, 6.924064 -> 23.292479, 9.525757 -> 36.551201, 4.30469 -> 35.967219, -7.161816 -> 33.237476, -3.443056 -> 25.892852, -1.615717 -> 35.64631, -1.5099 -> 21.318199, -3.35251 -> 25.123237, 0.400508 -> 33.309557, -4.086628 -> 24.036269, -4.157322 -> 22.123727, 7.846998 -> 29.164711, -3.747035 -> 33.17729, 6.303686 -> 36.292324, -0.627173 -> 34.829755, -8.016457 -> 34.32213, -1.24331 -> 29.09861, -1.655636 -> 25.396456, 8.629484 -> 25.969014, 4.35265 -> 24.204754, 7.844794 -> 22.115338, -3.411754 -> 23.272341, -6.224932",182.0,48060,651639,883934,187301
H-2000236,1,81,7,21,23,"Apr 30, 1910 - 08:31:41","May 8, 1910 - 12:59:03","May 9, 1910 - 03:59:03","17.062595, 78.006695 -> 18.133486, 68.534711 -> 15.437835, 83.84362 -> 15.114597, 79.830757 -> 28.79055, 87.155564 -> 11.793651, 73.987797 -> 16.075035, 74.060962 -> 24.796591, 72.918298 -> 22.513428, 79.724743 -> 15.830048, 73.793188 -> 17.928426, 79.539088 -> 12.557604, 76.542051 -> 14.128791, 83.202631 -> 29.135579, 71.591725 -> 25.887687, 79.306074 -> 24.43487, 80.658383 -> 27.914677, 80.761545 -> 20.275273, 76.503004 -> 8.728264, 74.392997 -> 15.449929, 80.858502 -> 23.254909, 79.15098 -> 11.379424, 80.364559 -> 25.035621, 74.276602 -> 8.796145, 81.849671 -> 13.517948, 75.456771 -> 26.615478, 70.194926 -> 17.398691, 83.780028 -> 24.870164, 83.839129 -> 17.256302, 71.78529 -> 21.070857, 77.237189 -> 28.940153, 77.961753 -> 26.143407, 76.142309 -> 17.228297, 74.425369 -> 10.664132, 85.291555",122.0,34481,0,357970,110016
H-2000237,4,149,24,48,575,"Mar. 3, 1947 - 12:21:56","Mar. 8, 1947 - 13:46:03","Mar. 9, 1947 - 07:46:03","20.6138, 44.750954 -> 21.292562, 48.490145 -> 20.308613, 43.707143 -> 24.82755, 47.438964 -> 21.64268, 37.959793 -> 18.560645, 41.388411 -> 29.872749, 47.445681 -> 19.841747, 46.173514 -> 28.893611, 49.396676 -> 25.48804, 53.023231 -> 28.630514, 36.186663 -> 19.259247, 47.650593 -> 18.847936, 35.674536 -> 19.641087, 50.337017 -> 25.735142, 45.969304 -> 26.419155, 51.322066 -> 18.959315, 42.976732 -> 30.157648, 45.706956 -> 27.781103, 39.994156 -> 29.557812, 45.162595 -> 18.939741, 46.853561 -> 20.868005, 37.093231 -> 17.768926, 51.326884 -> 26.615847, 42.594954 -> 22.595644, 52.434516 -> 24.712389, 38.71877 -> 24.210181, 43.41309 -> 24.528679, 49.679169 -> 27.451883, 53.479666 -> 23.212119, 48.044264 -> 23.16626, 50.94765 -> 23.037214, 40.482991 -> 29.50209, 47.298148 -> 18.857904, 49.280479",178.0,48395,191024,709842,200080
H-2000238,4,148,33,96,230,"Jul. 19, 1975 - 13:24:46","Jul. 28, 1975 - 15:32:27","Jul. 29, 1975 - 12:32:27","-4.279947, -54.962797 -> -17.223392, -38.469561 -> 1.977363, -53.987545 -> -11.93152, -35.847421 -> -10.005183, -50.116472 -> -13.222968, -37.652973 -> -12.254956, -51.270406 -> -9.930296, -52.187779 -> -16.416366, -73.011713 -> -18.452157, -38.79739 -> -20.006211, -40.425524 -> -13.607359, -40.648137 -> -6.478092, -69.762004 -> -10.041132, -71.972819 -> -3.342903, -62.622445 -> -16.944423, -43.554506 -> -13.152783, -69.701215 -> -5.007381, -65.704479 -> 1.731188, -39.019873 -> 1.647003, -52.513426 -> -4.336037, -37.912545 -> -1.303079, -62.320341 -> 1.833543, -69.254138 -> -18.167957, -71.7727 -> -2.319876, -65.903007 -> -1.073689, -40.232968 -> -18.881364, -57.790627 -> -9.433855, -65.680571 -> -15.24261, -56.58846 -> -8.337616, -36.284897 -> -20.51937, -45.002899 -> -10.9982, -41.702702 -> -6.583162, -56.970269 -> -15.679976, -51.606927",171.0,35145,151179,568541,162031
H-2000239,4,137,16,27,446,"Jun. 29, 2014 - 14:38:24","Jul. 8, 2014 - 23:37:15","Jul. 9, 2014 - 19:37:15","-2.360363, 27.397546 -> -12.751714, 20.101439 -> -3.030651, 17.313428 -> 4.037772, 20.193045 -> -9.335254, 25.651772 -> -4.67673, 19.727661 -> -2.186216, 15.114956 -> -9.234538, 28.498011 -> 4.570184, 16.730938 -> -1.667838, 18.52418 -> -0.674354, 23.632802 -> -3.347897, 18.338115 -> -12.891, 19.176216 -> -0.139089, 20.645468 -> 0.154575, 17.813704 -> -5.672843, 21.325039 -> -10.512592, 17.447453 -> 2.030945, 24.508328 -> -6.686311, 13.387298 -> -7.97184, 22.629081 -> -0.796209, 13.247518 -> -9.481779, 23.145075 -> -2.933993, 20.253744 -> 1.829841, 28.726172 -> -7.879501, 16.357931 -> 0.330701, 18.253444 -> 1.045245, 16.512464 -> -12.178864, 14.511507 -> -9.583027, 23.591936 -> -7.228692, 28.666758 -> 2.597473, 14.261981 -> -8.06686, 16.15787 -> -3.18181, 14.352215 -> -12.226463, 14.623233",162.0,77493,330517,1709691,322270
H-2000240,5,161,25,72,1089,"Jun. 08, 1875 - 16:20:14","Jun. 17, 1875 - 14:45:29","Jun. 18, 1875 - 11:45:29","20.4854, 74.056188 -> 26.418059, 79.692018 -> 22.276113, 78.859099 -> 30.365431, 78.856642 -> 24.582565, 76.294316 -> 10.804259, 72.1288 -> 11.08875, 86.290313 -> 9.432336, 76.64063 -> 9.754143, 75.261159 -> 29.141597, 68.508008 -> 22.092869, 77.326833 -> 16.888684, 78.51765 -> 27.143345, 71.319089 -> 28.661021, 71.686424 -> 11.942219, 68.83378 -> 21.716958, 73.461663 -> 13.537825, 69.587035 -> 26.720155, 72.933591 -> 18.947947, 81.728928 -> 21.578264, 75.691617 -> 19.960961, 73.472874 -> 17.073465, 70.461089 -> 26.205359, 68.904178 -> 12.60161, 78.633764 -> 9.082835, 71.505694 -> 11.473462, 70.235433 -> 14.061292, 69.822224 -> 26.033111, 76.587514 -> 13.261281, 82.898518 -> 25.945807, 71.987919 -> 12.857056, 81.960036 -> 24.837792, 69.787484 -> 19.259921, 70.653224 -> 13.784063, 78.527487",199.0,424863,4853620,7586651,1596187
H-2000241,5,164,49,180,531,"Oct. 18, 2016 - 20:17:26","Oct. 28, 2016 - 22:55:55","Oct. 29, 2016 - 21:55:55","26.766124, -4.658082 -> 29.808799, 4.981879 -> 33.054114, -3.485162 -> 27.99157, 4.516194 -> 25.941906, 9.076351 -> 36.462782, -3.330815 -> 25.455512, -0.152226 -> 32.386858, 8.405918 -> 29.464722, -5.045302 -> 35.292673, 6.820356 -> 31.923055, -6.620003 -> 23.767433, -8.010437 -> 22.50535, -2.565113 -> 23.352742, 0.550974 -> 23.878876, 10.9001 -> 28.467763, 8.487643 -> 30.620519, 2.830516 -> 29.127973, -0.27351 -> 22.956436, -5.151011 -> 29.759126, 7.898146 -> 35.826283, 3.695358 -> 33.92368, 0.898796 -> 31.494999, 8.772178 -> 24.35953, 10.369218 -> 32.448575, -8.472163 -> 31.728987, 2.476443 -> 28.967093, 6.294517 -> 27.157679, 0.029996 -> 33.76865, -1.760675 -> 28.847592, -3.605359 -> 31.02689, 5.227592 -> 23.883875, -3.83765 -> 21.269659, 9.254075 -> 20.582396, 1.728633",193.0,56597,724620,1126372,226247
H-2000242,5,166,27,103,1195,"Mar. 29, 1959 - 16:27:02","Apr. 5, 1959 - 07:08:02","Apr. 6, 1959 - 07:08:02","41.472232, 74.610373 -> 52.781896, 47.265251 -> 42.198012, 57.277006 -> 45.401022, 72.157595 -> 42.897888, 70.328303 -> 48.796646, 69.489607 -> 45.404152, 58.420407 -> 49.216981, 70.259339 -> 44.115583, 78.71332 -> 51.020627, 65.644928 -> 48.095145, 65.017143 -> 46.449628, 53.999044 -> 45.299142, 55.458913 -> 52.654454, 85.812241 -> 54.451104, 52.53689 -> 49.025328, 64.256339 -> 44.434539, 55.846255 -> 55.065824, 76.310552 -> 50.59994, 84.807076 -> 55.467932, 71.984628 -> 44.640474, 66.023463 -> 43.032333, 56.927487 -> 42.77974, 72.008018 -> 49.052804, 56.627528 -> 47.816277, 81.703878 -> 47.134576, 67.135635 -> 50.576076, 75.23121 -> 46.510488, 80.241947 -> 53.526618, 69.76843 -> 46.995692, 69.177317 -> 46.680293, 74.84752 -> 53.525088, 79.189139 -> 54.600651, 61.978145 -> 49.219005, 75.399761",186.0,31920,423176,574609,117948
H-2000243,5,182,59,260,822,"Jul. 11, 1976 - 07:43:14","Jul. 21, 1976 - 14:55:48","Jul. 22, 1976 - 14:55:48","-14.308467, -39.061999 -> -6.660803, -69.020291 -> 3.066464, -64.198859 -> -7.649572, -40.823242 -> -16.125062, -71.469809 -> -0.633023, -52.83862 -> 0.63127, -71.662988 -> 1.901126, -39.967009 -> -18.060496, -38.776796 -> 2.725911, -71.468918 -> -0.296755, -38.643267 -> -19.425329, -50.209533 -> -7.640149, -62.748896 -> -2.231223, -70.34765 -> -8.203202, -55.092287 -> 0.110591, -56.028603 -> 3.171588, -56.73855 -> -12.17528, -64.628163 -> -7.318824, -58.671193 -> -10.890193, -54.85626 -> -8.620095, -59.825996 -> -8.420078, -49.858464 -> 1.346176, -45.259335 -> -21.652568, -36.35448 -> -20.294174, -71.16975 -> -17.250851, -70.355135 -> 2.065784, -42.43962 -> -18.689344, -65.615977 -> -8.24215, -64.872416 -> -11.953263, -56.209289 -> -9.993565, -36.209027 -> -3.489369, -35.741487 -> -11.891859, -37.410909 -> -16.980415, -48.768254",193.0,339642,4502944,6019621,1021767
H-2000244,2,102,10,8,139,"Jul. 05, 1951 - 06:33:38","Jul. 10, 1951 - 23:37:44","Jul. 11, 1951 - 15:37:44","23.756234, 98.664689 -> 31.219798, 105.869142 -> 22.415802, 112.860761 -> 37.73608, 100.603922 -> 38.547101, 97.22579 -> 31.218904, 111.904009 -> 37.434641, 102.950113 -> 32.30722, 113.060559 -> 32.081157, 107.393881 -> 25.875862, 94.458933 -> 22.431007, 106.046586 -> 33.586718, 114.170122 -> 33.521226, 94.113333 -> 38.33015, 89.315119 -> 37.746213, 115.331014 -> 28.265299, 94.676939 -> 22.328997, 109.626346 -> 34.485144, 119.689595 -> 28.868456, 100.547894 -> 27.574024, 107.179758 -> 36.073077, 106.358851 -> 26.714598, 106.156592 -> 33.638433, 119.411099 -> 25.527706, 87.532313 -> 35.676543, 99.170434 -> 38.713664, 88.072694 -> 26.620767, 88.288356 -> 23.514188, 98.098095 -> 30.115494, 90.16676 -> 24.7029, 89.419302 -> 30.111479, 90.679492 -> 34.970717, 110.994112 -> 24.522279, 97.5237 -> 29.150639, 91.45138",130.0,88028,0,1011591,333161
H-2000245,5,160,28,100,636,"Feb. 21, 1917 - 01:24:54","Feb. 26, 1917 - 03:08:10","Feb. 27, 1917 - 01:08:10","42.472149, 58.086788 -> 49.777513, 72.471637 -> 44.941208, 51.021112 -> 54.244892, 81.485479 -> 44.609256, 51.010517 -> 52.185967, 56.769676 -> 43.051964, 53.695991 -> 41.448704, 81.469745 -> 52.384323, 52.265677 -> 52.525606, 83.832028 -> 47.286633, 68.145495 -> 55.259493, 56.245009 -> 46.172545, 63.433241 -> 53.551377, 74.882455 -> 48.564665, 51.198434 -> 47.411231, 68.758525 -> 47.062142, 86.416653 -> 54.568092, 62.29211 -> 47.60396, 71.301336 -> 50.942574, 77.323045 -> 54.470097, 76.465359 -> 48.506209, 48.37567 -> 48.622854, 74.080981 -> 54.853551, 49.145249 -> 52.454312, 57.053045 -> 47.181298, 47.527393 -> 50.318519, 58.417966 -> 55.282354, 72.329673 -> 48.72713, 69.446112 -> 45.693265, 81.997347 -> 43.385188, 78.067889 -> 54.728965, 76.819471 -> 44.895904, 84.954209 -> 53.091264, 47.924634",194.0,17739,317720,383778,72964
